i,y,d1,d2,d3,d4,d5,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.500,1,2.69,8,2,3,18
6,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0.360,1,4.69,3,12,7,42
9,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.100,1,1.69,7,6,4,7
10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0.801,1,1.89,1,7,9,54
11,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.200,1,1.99,8,2,4,33
12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.600,1,2.84,1,7,4,28
13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0.350,1,1.19,8,17,4,2
17,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0.500,1,3.99,5,25,1,45
18,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.200,1,2.09,8,2,5,49
20,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0.450,1,1.99,4,24,5,52
22,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.300,1,4.99,1,12,3,30
23,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0.500,1,2.69,5,5,4,37
26,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0.390,1,1.49,5,16,3,29
28,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.300,1,1.69,8,6,5,22
29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.801,1,2.29,1,7,4,28
30,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0.600,1,3.89,1,12,7,2
31,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1.000,1,8.69,4,2,5,41
34,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0.500,1,6.39,9,12,6,42
36,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.000,1,6.49,8,2,5,1
41,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0.820,1,1.75,5,8,3,24
45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1.000,1,6.59,13,24,3,44
46,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.225,1,1.19,8,6,4,22
49,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.500,1,1.36,1,4,3,34
51,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0.500,1,.79,7,4,5,43
53,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.000,2,.48,13,1,4,18
58,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2.000,1,23.99,9,12,6,42
59,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0.845,1,1.64,7,8,3,16
60,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1.000,2,.77,1,1,6,49
65,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0.410,1,1.09,1,9,3,24
66,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0.420,1,.65,5,8,5,18
67,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.150,1,1.35,8,2,7,2
68,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0.845,1,1.69,5,8,3,17
73,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0.450,1,3.19,1,24,7,44
75,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0.600,1,2.29,1,20,4,30
79,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.570,1,3.29,1,6,3,20
80,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.500,1,1.35,15,4,3,34
81,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1.000,2,.83,13,1,5,50
84,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1.000,2,.75,13,1,6,38
85,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0.170,1,1.99,1,25,3,45
87,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0.400,1,4.09,8,2,4,49
89,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.500,1,1.25,1,4,3,11
91,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.500,1,1.35,7,4,4,34
94,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0.500,1,5.98,1,12,5,
95,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.270,1,.76,6,6,2,21
96,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,4,0.600,1,8.49,2,12,6,42
97,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0.225,1,.79,16,6,2,18
99,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0.400,1,3.99,8,2,3,49
102,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,1,0.120,1,1.29,1,14,6,8
104,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4,0.200,1,2.19,3,2,4,49
105,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1.000,3,2.49,8,2,6,2
106,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.500,1,1.09,15,4,3,34
107,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0.900,1,1.78,1,25,3,2
108,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0.410,1,1.09,1,8,5,16
109,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0.140,1,2.49,5,7,5,14
115,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0.250,1,3.59,1,25,3,45
117,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0.500,1,1.59,15,4,3,32
119,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,0.410,1,1.09,5,8,3,16
121,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.090,1,.75,7,6,4,22
122,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.500,1,1.75,15,4,6,37
124,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0.360,1,4.69,1,12,6,42
125,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0.410,1,.99,5,8,3,24
128,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0.450,1,2.99,1,24,4,6
130,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0.410,1,.99,5,9,4,24
132,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.450,1,3.99,13,24,3,6
136,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.000,2,.75,1,1,6,38
137,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.000,1,4.99,4,2,5,43
139,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0.410,1,.99,15,8,3,24
142,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,2,0.390,1,1.49,5,16,3,29
146,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.150,1,1.35,8,2,7,2
147,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1.000,2,.84,3,1,6,36
148,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1.000,2,.56,13,1,4,27
149,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0.600,1,2.89,1,12,8,3
150,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0.420,1,.59,7,10,3,43
154,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0.801,1,2.29,1,7,4,28
155,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0.410,1,1.09,7,8,5,16
157,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0.500,1,1.39,1,4,4,37
161,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.350,1,.69,1,17,4,21
162,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.200,1,.89,7,7,4,20
165,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1.000,2,1.19,6,1,8,49
166,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0.750,2,4.69,7,23,4,25
170,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0.250,1,1.79,1,24,6,44
173,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.500,1,.69,1,4,3,2
174,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0.750,1,.89,9,19,3,18
178,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,1.000,2,1.19,6,1,8,49
181,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0.450,1,2.59,1,8,6,51
182,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.500,1,1.35,7,4,3,34
184,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0.200,1,2.19,4,2,6,49
186,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.000,2,.73,1,1,6,35
188,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.200,1,2.35,1,7,5,48
191,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0.500,1,1.09,15,4,3,18
192,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,1.000,1,16.29,2,12,2,42
194,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0.560,1,1.49,5,9,4,24
195,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.600,1,2.84,1,7,4,28
196,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0.500,1,1.99,1,4,4,47
197,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.798,1,.95,1,7,6,2
200,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0.540,1,.99,1,9,3,11
205,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.750,2,2.54,1,23,2,2
207,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3.000,2,14.65,1,23,3,25
