i,y,d1,d2,d3,d4,d5,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,x1,x2,x3,x4,x5,x6,x7,x8,x9
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.500,1,1.69,15,4,4,37
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1.000,1,6.49,4,2,5,36
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.000,2,.69,6,1,6,38
5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1.000,1,17.49,1,12,3,30
7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0.150,1,1.59,4,2,4,33
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.750,1,2.39,7,6,7,22
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.500,1,1.25,1,4,3,11
15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,1.000,2,1.19,3,1,6,49
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.000,2,.69,1,1,6,38
19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.500,1,1.89,7,4,6,43
21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0.540,1,.59,5,8,3,18
24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.000,1,6.99,4,2,4,33
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1.000,2,.83,13,1,5,50
27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,0.250,1,2.59,4,24,6,6
32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.500,1,2.59,15,4,3,26
33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.000,1,4.99,3,2,3,39
35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,1.000,1,7.99,4,2,5,36
37,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0.800,1,2.48,1,16,3,29
38,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0.300,1,4.99,1,12,3,30
39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.200,1,2.09,8,2,3,33
40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0.500,1,1.79,1,4,4,37
42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0.400,1,1.19,1,16,6,2
43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0.410,1,1.09,1,8,5,16
44,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0.390,1,.89,5,16,3,29
47,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.500,1,3.99,15,4,5,32
48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.270,1,1.59,16,6,3,7
50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0.750,2,4.59,15,23,3,40
52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.500,1,.76,5,4,3,21
54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.200,1,1.89,8,2,4,38
55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.800,1,6.79,8,2,3,12
